date,time,beds,baths,house_size,house_size_units,lot_size,lot_size_units,zip_code,country,price
4/13/2022,9:01:00 AM,3,2.5,2590,sqft,6000,sqft,98144,USA,795000
12/15/2022,4:01:00 PM,4,2,2240,sqft,13504,sqft,98106,USA,915000
9/28/2022,12:39:00 AM,4,3,2040,sqft,3783,sqft,98107,USA,950000
4/17/2022,10:08:00 AM,4,3,3800,sqft,5175,sqft,98199,USA,1950000
3/13/2022,3:53:00 PM,2,2,1042,sqft,,,98102,USA,950000
7/8/2022,9:38:00 AM,2,2,1190,sqft,43560,sqft,98107,USA,740000
1/21/2022,2:54:00 AM,1,1,670,sqft,6000,sqft,98133,USA,460000
4/13/2022,11:49:00 PM,5,3.5,4510,sqft,6000,sqft,98105,USA,3150000
5/2/2022,6:12:00 AM,3,2.5,1520,sqft,741,sqft,98108,USA,565000
8/3/2022,3:56:00 AM,4,2,2340,sqft,9500,sqft,98178,USA,699000
11/27/2022,7:44:00 PM,3,2,1320,sqft,1386,sqft,98103,USA,899000
3/29/2022,7:00:00 AM,3,2,1800,sqft,3993,sqft,98177,USA,1050000
4/10/2022,3:45:00 PM,3,2.5,2490,sqft,5757,sqft,98103,USA,935625
12/26/2022,11:13:00 AM,4,3,2650,sqft,6380,sqft,98115,USA,1511000
6/1/2022,10:50:00 PM,5,1.5,2560,sqft,5200,sqft,98199,USA,1330000
5/11/2022,1:14:00 AM,2,1.5,900,sqft,,,98133,USA,549755
5/30/2022,10:01:00 PM,3,3.5,1360,sqft,,,98103,USA,700000
11/5/2022,6:21:00 PM,1,1,550,sqft,,,98122,USA,330000
9/15/2022,9:24:00 PM,3,2.5,2974,sqft,3840,sqft,98119,USA,1750000
12/10/2022,9:57:00 PM,4,3.5,1989,sqft,1607,sqft,98117,USA,980000
10/21/2022,7:48:00 PM,2,2,1332,sqft,1101,sqft,98199,USA,845000
7/11/2022,5:41:00 AM,4,3,2668,sqft,5589,sqft,98116,USA,1213000
10/4/2022,9:14:00 PM,2,1,770,sqft,5250,sqft,98133,USA,530000
6/10/2022,4:42:00 AM,3,1.5,1280,sqft,9100,sqft,98146,USA,625000
11/10/2022,7:32:00 AM,5,3.5,3200,sqft,9260,sqft,98133,USA,1275000
1/22/2022,11:52:00 AM,2,1.5,889,sqft,10019,sqft,98103,USA,680000
9/10/2022,4:43:00 AM,1,1,508,sqft,,,98109,USA,325000
8/24/2022,3:38:00 AM,3,2,3140,sqft,5000,sqft,98117,USA,1219700
12/11/2022,12:05:00 PM,4,2,2000,sqft,8077,sqft,98125,USA,907200
2/18/2022,7:31:00 PM,1,1,792,sqft,,,98101,USA,517000
2/28/2022,2:29:00 PM,3,2.5,1690,sqft,1733,sqft,98108,USA,760000
6/19/2022,10:34:00 PM,4,5.5,3000,sqft,5520,sqft,98126,USA,1484000
7/7/2022,7:39:00 PM,3,3,1550,sqft,1400,sqft,98115,USA,950000
9/28/2022,12:15:00 PM,2,2,871,sqft,12632,sqft,98119,USA,430000
7/9/2022,9:49:00 AM,4,1.5,1940,sqft,8778,sqft,98118,USA,520000
6/24/2022,6:29:00 PM,1,1,474,sqft,,,98101,USA,335000
2/20/2022,11:16:00 PM,3,2,1770,sqft,3349,sqft,98146,USA,805000
12/30/2022,10:18:00 PM,5,5,2510,sqft,11761,sqft,98133,USA,1000000
2/24/2022,4:25:00 AM,1,1,750,sqft,,,98199,USA,375000
9/1/2022,8:25:00 PM,1,1,573,sqft,,,98102,USA,390000
11/16/2022,8:22:00 AM,3,2.5,1500,sqft,1056,sqft,98103,USA,1070000
5/11/2022,8:11:00 PM,5,4,2920,sqft,6323,sqft,98133,USA,948000
11/3/2022,12:00:00 AM,3,2,2817,sqft,6375,sqft,98103,USA,912000
5/15/2022,1:46:00 AM,1,1,617,sqft,21344,sqft,98109,USA,480000
1/21/2022,9:31:00 PM,2,2,1280,sqft,3000,sqft,98112,USA,776000
11/25/2022,7:47:00 AM,2,2,1523,sqft,,,98121,USA,1395000
6/16/2022,8:44:00 PM,2,1,1240,sqft,5038,sqft,98126,USA,750000
10/1/2022,3:00:00 PM,4,2.5,2280,sqft,3932,sqft,98106,USA,1065000
3/30/2022,4:38:00 AM,5,3.5,3590,sqft,15682,sqft,98136,USA,2350000
11/12/2022,10:21:00 PM,4,3.5,2478,sqft,2761,sqft,98115,USA,1580000
1/14/2022,11:02:00 AM,3,3,2360,sqft,6600,sqft,98117,USA,1775000
8/30/2022,3:25:00 PM,2,1,720,sqft,7500,sqft,98177,USA,600000
9/22/2022,4:50:00 AM,3,2,2480,sqft,5829,sqft,98126,USA,800000
12/12/2022,1:21:00 PM,3,2,1550,sqft,6720,sqft,98199,USA,1100000
2/22/2022,4:27:00 AM,2,1,780,sqft,3060,sqft,98103,USA,750000
12/6/2022,4:46:00 PM,5,3,2820,sqft,6250,sqft,98136,USA,865000
4/2/2022,1:29:00 PM,5,3,2900,sqft,3600,sqft,98112,USA,1450000
9/21/2022,4:51:00 AM,2,2,1092,sqft,5500,sqft,98122,USA,829000
2/4/2022,3:11:00 PM,3,2,1731,sqft,7514,sqft,98125,USA,575000
7/25/2022,3:25:00 PM,3,2.5,1500,sqft,8240,sqft,98105,USA,860000
3/22/2022,6:20:00 AM,2,2.5,1344,sqft,1110,sqft,98122,USA,770000
2/19/2022,12:35:00 AM,4,5.5,4040,sqft,8965,sqft,98105,USA,5495000
12/26/2022,4:29:00 AM,5,3,2320,sqft,11761,sqft,98168,USA,560000
1/2/2022,9:22:00 AM,5,3,2820,sqft,6250,sqft,98136,USA,900000
2/23/2022,4:53:00 AM,3,1,1070,sqft,3840,sqft,98117,USA,575000
4/16/2022,1:35:00 AM,2,1,1113,sqft,,,98102,USA,595000
9/17/2022,9:51:00 AM,4,2,2100,sqft,4864,sqft,98117,USA,950000
11/6/2022,6:57:00 PM,3,2.5,2620,sqft,4080,sqft,98119,USA,1300000
7/10/2022,12:57:00 AM,3,2,1270,sqft,1333,sqft,98103,USA,727000
8/6/2022,4:55:00 AM,3,2,2702,sqft,6600,sqft,98103,USA,1605000
2/13/2022,3:44:00 AM,4,3.5,2031,sqft,43560,sqft,98117,USA,1480000
6/11/2022,11:15:00 PM,3,2,2350,sqft,7320,sqft,98178,USA,888000
7/21/2022,10:15:00 PM,4,1.5,2640,sqft,7440,sqft,98115,USA,1850000
9/27/2022,4:01:00 PM,3,1.5,1340,sqft,5120,sqft,98106,USA,615000
12/17/2022,7:27:00 PM,6,3.5,8660,sqft,12197,sqft,98102,USA,4100000
10/31/2022,11:23:00 AM,2,2.5,1365,sqft,,,98118,USA,525000
9/28/2022,2:49:00 AM,1,1,635,sqft,,,98104,USA,509950
8/3/2022,12:59:00 AM,3,1,1800,sqft,11761,sqft,98168,USA,549000
9/9/2022,6:32:00 PM,2,1,870,sqft,6554,sqft,98118,USA,555000
7/9/2022,4:42:00 AM,3,3.5,1510,sqft,1239,sqft,98103,USA,660000
10/23/2022,2:11:00 AM,3,1,1120,sqft,6096,sqft,98106,USA,615000
8/1/2022,12:00:00 AM,4,2.5,2580,sqft,11326,sqft,98146,USA,1635000
7/27/2022,9:39:00 AM,2,2,875,sqft,,,98115,USA,420000
8/25/2022,11:42:00 AM,3,4,2220,sqft,974,sqft,98109,USA,1650000
12/4/2022,12:28:00 PM,1,1,607,sqft,,,98119,USA,427000
2/22/2022,1:11:00 PM,3,2,1496,sqft,43560,sqft,98144,USA,910000
10/7/2022,6:01:00 PM,4,3.5,2670,sqft,3405,sqft,98118,USA,1022700
8/5/2022,2:49:00 AM,2,1.5,1810,sqft,6827,sqft,98115,USA,925000
9/9/2022,4:22:00 PM,1,1,582,sqft,21780,sqft,98109,USA,360000
7/7/2022,7:25:00 AM,2,2,1006,sqft,,,98121,USA,928000
2/10/2022,9:28:00 AM,3,5.5,1530,sqft,1336,sqft,98103,USA,635000
6/6/2022,1:25:00 AM,2,1,820,sqft,5100,sqft,98118,USA,490000
1/15/2022,8:50:00 AM,3,2,1960,sqft,5000,sqft,98105,USA,950000
10/28/2022,3:06:00 AM,4,3,2110,sqft,10454,sqft,98133,USA,760000
3/6/2022,8:57:00 PM,4,3.5,3010,sqft,4000,sqft,98106,USA,985000
12/11/2022,12:49:00 PM,3,1,2200,sqft,5000,sqft,98105,USA,1250000
11/23/2022,11:10:00 PM,3,2.5,1820,sqft,176418,sqft,98118,USA,690000
1/9/2022,8:35:00 PM,4,4,3040,sqft,4000,sqft,98119,USA,1585000
12/10/2022,3:56:00 AM,3,2,1800,sqft,6180,sqft,98118,USA,936000
5/9/2022,4:09:00 AM,1,1,800,sqft,,,98122,USA,450000
5/16/2022,11:08:00 PM,3,3,1450,sqft,525,sqft,98117,USA,750000
3/4/2022,4:34:00 PM,1,1,756,sqft,,,98121,USA,550000
5/19/2022,3:34:00 PM,1,1,742,sqft,,,98126,USA,354000
3/22/2022,5:35:00 PM,4,2,2400,sqft,5400,sqft,98119,USA,1385000
6/12/2022,6:48:00 AM,2,2,1607,sqft,,,98101,USA,1865000
10/16/2022,11:31:00 PM,4,3.5,3057,sqft,7650,sqft,98117,USA,1800000
9/18/2022,4:22:00 AM,1,1,649,sqft,,,98105,USA,346600
8/19/2022,4:11:00 PM,4,4,3142,sqft,6000,sqft,98119,USA,1600000
2/10/2022,12:54:00 PM,3,1,1050,sqft,3750,sqft,98106,USA,399950
1/28/2022,2:22:00 AM,3,2,1720,sqft,5000,sqft,98199,USA,855000
5/15/2022,4:40:00 PM,3,3.5,2650,sqft,8500,sqft,98136,USA,1095000
7/20/2022,7:48:00 PM,2,1.5,2680,sqft,6000,sqft,98102,USA,1125000
11/24/2022,9:47:00 PM,4,2.5,2550,sqft,5000,sqft,98115,USA,1560000
9/25/2022,6:12:00 PM,9,4,3800,sqft,6000,sqft,98116,USA,1343000
2/2/2022,3:48:00 AM,2,2,1320,sqft,,,98125,USA,525000
2/17/2022,8:11:00 AM,4,2,1910,sqft,6000,sqft,98168,USA,630000
3/3/2022,11:18:00 AM,2,1,773,sqft,10890,sqft,98133,USA,360000
8/4/2022,6:08:00 AM,1,1,589,sqft,,,98121,USA,375000
10/20/2022,1:27:00 PM,1,1,510,sqft,,,98102,USA,302500
4/9/2022,7:30:00 PM,4,3.5,2661,sqft,4081,sqft,98108,USA,1165000
6/21/2022,2:18:00 PM,2,2,843,sqft,,,98103,USA,346250
12/26/2022,8:15:00 PM,4,3,2250,sqft,5250,sqft,98115,USA,1150000
8/2/2022,2:04:00 AM,4,1.5,2080,sqft,5000,sqft,98116,USA,950000
2/4/2022,7:11:00 PM,3,3.5,1370,sqft,982,sqft,98117,USA,699500
8/15/2022,8:58:00 PM,1,1,699,sqft,186001,sqft,98115,USA,335000
4/11/2022,8:35:00 PM,2,3,1840,sqft,9420,sqft,98125,USA,800000
5/11/2022,3:22:00 PM,4,3.5,3040,sqft,16988,sqft,98177,USA,1495000
9/14/2022,6:56:00 AM,2,1,858,sqft,,,98144,USA,500000
1/5/2022,8:44:00 PM,5,8.5,3110,sqft,4455,sqft,98115,USA,1606500
8/6/2022,6:41:00 AM,2,2,1147,sqft,564,sqft,98115,USA,749950
9/12/2022,4:13:00 AM,2,1,868,sqft,,,98144,USA,415000
12/25/2022,10:34:00 PM,2,2.5,1538,sqft,900,sqft,98105,USA,895000
10/10/2022,10:28:00 AM,2,1,1480,sqft,4600,sqft,98126,USA,720000
7/26/2022,5:10:00 PM,2,2,932,sqft,,,98103,USA,435000
1/15/2022,11:46:00 AM,2,2,981,sqft,,,98133,USA,450000
12/12/2022,9:08:00 AM,2,2,866,sqft,649,sqft,98107,USA,555000
2/11/2022,11:57:00 AM,4,3.5,2000,sqft,1532,sqft,98115,USA,870000
6/28/2022,5:16:00 AM,3,3.5,1470,sqft,1375,sqft,98117,USA,845000
3/4/2022,1:06:00 PM,2,2,1840,sqft,5000,sqft,98122,USA,1200000
12/18/2022,7:12:00 AM,4,2,2230,sqft,5940,sqft,98125,USA,925000
8/19/2022,8:41:00 AM,2,1.5,1290,sqft,1332,sqft,98115,USA,795000
8/29/2022,1:49:00 AM,3,2.5,1670,sqft,,,98178,USA,600000
2/21/2022,4:04:00 AM,1,1,630,sqft,10454,sqft,98146,USA,459000
4/6/2022,6:37:00 PM,3,2,1880,sqft,3200,sqft,98144,USA,911000
8/10/2022,3:07:00 PM,2,2,1188,sqft,,,98102,USA,1350000
8/19/2022,12:44:00 AM,2,1.5,1300,sqft,3146,sqft,98133,USA,570288
8/25/2022,7:21:00 PM,1,1,857,sqft,,,98121,USA,529000
5/23/2022,6:16:00 AM,2,2,1071,sqft,67082,sqft,98119,USA,605000
6/20/2022,12:24:00 PM,5,4,2810,sqft,5000,sqft,98103,USA,1295000
1/29/2022,3:03:00 AM,4,2.5,2400,sqft,3200,sqft,98109,USA,1595000
2/5/2022,6:05:00 PM,3,3.5,1670,sqft,,,98178,USA,600000
1/13/2022,9:43:00 PM,3,2.5,2734,sqft,4000,sqft,98109,USA,1605200
6/9/2022,9:38:00 AM,3,2.5,1670,sqft,1687,sqft,98117,USA,865000
11/23/2022,6:25:00 PM,3,3,1530,sqft,2260,sqft,98126,USA,745000
7/6/2022,2:38:00 AM,4,1,1720,sqft,2835,sqft,98122,USA,543750
8/31/2022,12:44:00 PM,3,1,1200,sqft,5786,sqft,98105,USA,1099950
3/27/2022,7:49:00 PM,5,3,2030,sqft,5046,sqft,98144,USA,905000
10/11/2022,7:27:00 AM,3,2,2370,sqft,4865,sqft,98126,USA,1200000
3/7/2022,6:40:00 AM,3,1.5,1720,sqft,3825,sqft,98117,USA,825000
6/19/2022,2:00:00 AM,1,1,813,sqft,10454,sqft,98121,USA,680000
2/14/2022,4:12:00 PM,3,2,1590,sqft,8937,sqft,98106,USA,720000
3/3/2022,11:24:00 PM,1,1,626,sqft,,,98122,USA,389200
5/14/2022,5:32:00 AM,2,1,840,sqft,4000,sqft,98108,USA,489000
10/11/2022,5:52:00 AM,2,2,1030,sqft,,,98122,USA,575000
1/28/2022,11:57:00 AM,5,2.5,2870,sqft,8741,sqft,98168,USA,520000
4/18/2022,12:44:00 PM,1,1,792,sqft,,,98121,USA,675000
2/13/2022,8:46:00 PM,2,1.5,994,sqft,1494,sqft,98106,USA,580000
12/6/2022,9:15:00 PM,3,2,1630,sqft,6000,sqft,98168,USA,630000
10/13/2022,10:20:00 AM,3,1.5,1172,sqft,,,98122,USA,685000
11/27/2022,4:59:00 AM,3,2,1806,sqft,4400,sqft,98126,USA,799000
